CODIGO;ATIVO;TIPO;ID_LOCALIZACAO;QUARTOS;SUITE;AREA_TERRENO;AREA_CONSTRUIDA;VALOR;VALOR_M2;PISCINA_IMOVEL;CHURRASQUEIRA;CONDOMINIO;ALTO_PADRAO;STATUS
ALPHA018;DISPONÍVEL;CASA;12;4;1;360,0;150,0;1650000;11000,0;1;1;1;1;NOVO
IN091;DISPONÍVEL;CASA;11;3;1;741,0;270,0;900000;3333,3333333333335;0;1;0;0;USADO
JA1466;VENDIDO;CASA;4;4;1;1000,0;400,0;1000000;2500,0;1;1;0;0;USADO
JA1133;VENDIDO;CASA;4;5;1;600,0;400,0;1000000;2500,0;1;1;0;0;USADO
JA1625;DISPONÍVEL;SITIO;16;6;1;1100,0;130,0;370000;2846,153846153846;0;1;0;0;USADO
SB225;VENDIDO;DUPLEX;1;2;2;120,0;85,0;410000;4823,529411764706;0;1;0;0;NOVO
ALPHA013;DISPONÍVEL;CASA;12;4;1;400,0;200,0;1700000;8500,0;1;1;1;1;NOVO
ALPHA021;DISPONÍVEL;DUPLEX;12;4;2;360,0;180,0;1900000;10555,555555555555;1;1;1;1;USADO
ALPHA023;DISPONÍVEL;CASA;62;3;1;360,0;170,0;1900000;11176,470588235294;1;1;1;1;USADO
BAR043;DISPONÍVEL;DUPLEX;28;2;2;120,0;80,0;470000;5875,0;0;1;0;0;NOVO
JA1610;DISPONÍVEL;CASA;17;3;1;240,0;100,0;660000;6600,0;0;1;0;0;NOVO
JA1985;DISPONÍVEL;CASA;10;3;1;110,0;360,0;660000;1833,3333333333333;0;1;1;0;NOVO
ALPHA017;DISPONÍVEL;CASA;62;4;2;360,0;180,0;1950000;10833,333333333334;1;1;1;0;NOVO
SOL003;DISPONÍVEL;CASA;2;6;5;400,0;500,0;3300000;6600,0;1;1;1;1;NOVO
JA1535;VENDIDO;CASA;17;3;1;240,0;100,0;662000;6620,0;1;1;0;0;NOVO
CAJ021;DISPONÍVEL;CASA;2;3;1;360,0;130,0;680000;5230,7692307692305;1;1;1;0;USADO
SOL013;DISPONÍVEL;CASA;2;3;1;360,0;150,0;680000;4533,333333333333;1;1;1;0;USADO
IN069;DISPONÍVEL;CASA;68;3;1;360,0;200,0;680000;3400,0;1;1;1;1;NOVO
JA1426;DISPONÍVEL;CASA;17;3;3;225,0;110,0;680000;6181,818181818182;0;1;0;0;NOVO
SJ127;DISPONÍVEL;CASA;29;3;1;360,0;150,0;680000;4533,333333333333;0;1;1;1;NOVO
SB228;DISPONÍVEL;CASA;1;3;1;225,0;100,0;685000;6850,0;1;1;0;1;NOVO
JA1484 ;DISPONÍVEL;CASA;4;3;1;480,0;140,0;685000;4892,857142857143;1;1;0;1;NOVO
IV043;DISPONÍVEL;CASA;69;3;1;600,0;138,0;690000;5000,0;0;1;1;0;NOVO
SOL014;DISPONÍVEL;CASA;2;4;0;442,0;332,0;1990000;5993,975903614458;1;1;1;0;NOVO
JA1538;DISPONÍVEL;CASA;17;3;1;480,0;187,0;699000;3737,9679144385027;1;1;0;0;USADO
JA1517;DISPONÍVEL;CASA;14;3;1;600,0;300,0;700000;2333,3333333333335;1;1;0;0;USADO
JA1544;VENDIDO;CASA;4;3;3;480,0;150,0;870000;5800,0;0;1;0;0;NOVO
PN012;VENDIDO;DUPLEX;32;3;1;240,0;100,0;430000;4300,0;0;1;0;0;NOVO
JA1982;VENDIDO;DUPLEX;17;2;2;110,0;84,5;429000;5076,923076923077;0;1;0;0;NOVO
IN096;DISPONÍVEL;DUPLEX;27;3;1;250,0;85,0;450000;5294,117647058823;0;0;0;0;NOVO
JA1609;DISPONÍVEL;CASA;4;3;1;110,0;480,0;700000;1458,3333333333333;0;1;0;0;NOVO
JA1983;VENDIDO;APTO;4;2;1;100,0;70,0;260000;3714,285714285714;0;0;1;0;USADO
JA1984;DISPONÍVEL;DUPLEX;70;2;2;70,0;126,0;495000;3928,5714285714284;1;1;0;0;NOVO
SB228;DISPONÍVEL;CASA;1;3;1;225,0;112,0;705000;6294,642857142857;1;1;0;1;NOVO
SJ126;DISPONÍVEL;CASA;29;3;1;133,0;360,0;710000;1972,2222222222222;1;1;1;0;NOVO
TER058;DISPONÍVEL;TERRENO UNIFAMILIAR;10;0;0;364,0;0,0;230000;0,0;0;0;1;0;-
JA1987;DISPONÍVEL;CASA;4;3;1;129,0;0,0;878000;0,0;1;1;0;0;NOVO
ALPHA028;DISPONÍVEL;CASA;10;3;3;382,0;192,0;1390000;7239,583333333333;1;1;1;0;NOVO
JA1443;DISPONÍVEL;CASA;4;3;1;480,0;135,0;715000;5296,2962962962965;0;1;0;0;NOVO
REC023;DISPONÍVEL;CASA;34;3;1;480,0;121,0;720000;5950,413223140496;0;1;0;0;NOVO
JA1990;DISPONÍVEL;CASA;4;3;1;231,0;480,0;980000;2041,6666666666667;1;1;0;0;NOVO
JA1986;DISPONÍVEL;CASA;4;3;1;360,0;147,0;720000;4897,959183673469;0;1;0;0;NOVO
REC024;DISPONÍVEL;CASA;34;3;1;123,34;240,0;720000;3000,0;0;1;0;0;USADO
JA1289;VENDIDO;CASA;17;3;1;240,0;100,0;480000;4800,0;0;1;0;1;NOVO
JA1991;DISPONÍVEL;CASA;17;2;0;280,0;90,0;765000;8500,0;0;0;0;0;NOVO
JA1432;DISPONÍVEL;CASA;4;3;1;480,0;120,0;730000;6083,333333333333;0;1;0;1;NOVO
JA1471;DISPONÍVEL;CASA;4;3;1;480,0;120,0;730000;6083,333333333333;0;1;0;0;NOVO
JA1993;DISPONÍVEL;CASA;4;3;1;280,0;90,0;878000;9755,555555555555;1;1;0;0;NOVO
JA1524;DISPONÍVEL;CASA;4;3;1;480,0;130,0;730000;5615,384615384615;0;1;0;1;NOVO
JA1441;DISPONÍVEL;CASA;4;3;1;480,0;130,0;745000;5730,7692307692305;0;1;0;1;NOVO
JA1505;DISPONÍVEL;CASA;17;3;1;480,0;105,0;745000;7095,238095238095;0;1;0;1;NOVO
SJ125;VENDIDO;DUPLEX;29;2;1;280,0;90,0;345000;3833,3333333333335;0;0;0;0;NOVO
ALPHA029;DISPONÍVEL;CASA;10;3;1;190,0;381,0;1450000;3805,774278215223;1;1;1;0;NOVO
ALPHA030;DISPONÍVEL;CASA;10;3;1;360,0;150,0;830000;5533,333333333333;0;1;1;0;NOVO
CAJ013;DISPONÍVEL;CASA;46;3;1;450,0;130,0;750000;5769,2307692307695;0;1;0;0;NOVO
JA1470;DISPONÍVEL;CASA;4;3;1;480,0;120,0;750000;6250,0;0;1;0;0;NOVO
CAJ025;DISPONÍVEL;CASA;2;3;1;360,0;180,0;990000;5500,0;1;1;1;0;USADO
JA1603;DISPONÍVEL;CASA;4;3;1;480,0;120,0;750000;6250,0;0;1;0;0;NOVO
JA1613;DISPONÍVEL;CASA;4;3;1;480,0;110,0;750000;6818,181818181818;0;1;0;0;NOVO
SB244;DISPONÍVEL;CASA;1;3;1;480,0;120,0;760000;6333,333333333333;0;1;0;0;NOVO
JA1623;DISPONÍVEL;CASA;14;3;1;300,0;120,0;750000;6250,0;1;1;0;0;NOVO
JA1574;DISPONÍVEL;CASA;4;3;1;480,0;120,0;750000;6250,0;0;1;0;1;NOVO
JA1584;DISPONÍVEL;CASA;14;3;1;240,0;130,0;750000;5769,2307692307695;0;1;0;0;NOVO
TER059;DISPONÍVEL;TERRENO MULTIFAMILIAR;17;0;0;480,0;0,0;310000;0,0;0;0;0;0;NOVO
JA1624;DISPONÍVEL;CASA;14;3;1;300,0;100,0;750000;7500,0;0;1;0;0;NOVO
JA1989;DISPONÍVEL;CASA;17;3;1;130,0;480,0;750000;1562,5;1;1;0;0;NOVO
JA1997;DISPONÍVEL;CASA;4;2;0;480,0;175,0;750000;4285,714285714285;1;1;0;0;NOVO
SJ128;DISPONÍVEL;DUPLEX;71;3;2;360,0;120,0;700000;5833,333333333333;1;1;1;0;USADO
CAX019;DISPONÍVEL;DUPLEX;15;2;1;240,0;100,0;550000;5500,0;0;1;1;0;NOVO
CAX020;DISPONÍVEL;CASA;15;3;1;240,0;100,0;575000;5750,0;0;1;1;0;NOVO
CAX021;DISPONÍVEL;CASA;15;3;1;240,0;100,0;560000;5600,0;0;1;1;0;NOVO
CAX022;DISPONÍVEL;DUPLEX;15;3;1;240,0;120,0;550000;4583,333333333333;0;1;1;1;USADO
CAX023;DISPONÍVEL;DUPLEX;15;3;1;240,0;120,0;875000;7291,666666666667;1;1;1;0;USADO
JA1999;DISPONÍVEL;DUPLEX;4;2;2;150,0;70,0;365000;5214,285714285715;0;0;0;0;NOVO
JA2000;DISPONÍVEL;CASA;4;2;1;180,0;65,0;350000;5384,615384615385;0;0;0;0;NOVO
JA2001;DISPONÍVEL;CASA;4;3;1;440,0;138,0;878000;6362,31884057971;1;1;0;0;NOVO
SB245;DISPONÍVEL;CASA;1;3;1;225,0;110,0;690000;6272,727272727273;1;1;0;0;NOVO
JA2005;VENDIDO;CASA;4;2;1;240,0;80,0;460000;5750,0;0;0;0;0;NOVO
JA2004;DISPONÍVEL;CASA;4;2;1;150,0;100,0;480000;4800,0;1;1;0;0;NOVO
SB223;VENDIDO;CASA;1;3;1;480,0;150,0;570000;3800,0;1;1;0;0;USADO
JA2006;VENDIDO;CASA;17;2;1;480,0;120,0;590000;4916,666666666667;0;1;0;0;NOVO
JA2003;DISPONÍVEL;CASA;17;3;1;240,0;100,0;678000;6780,0;1;1;0;0;NOVO
JA2002;VENDIDO;CASA;14;3;3;300,0;160,0;750000;4687,5;1;1;0;0;NOVO
SOL015;DISPONÍVEL;CASA;2;6;2;440,0;336,0;2300000;6845,238095238095;1;1;1;0;NOVO
JA1467;DISPONÍVEL;CASA;4;2;1;225,0;85,0;420000;4941,176470588235;0;1;0;0;NOVO
IN102;DISPONÍVEL;CASA;72;2;1;220,0;85,0;400000;4705,882352941177;0;0;0;0;NOVO
ARTB001;DISPONÍVEL;DUPLEX;73;4;1;220,0;150,0;710000;4733,333333333333;1;1;1;0;USADO
ARTB002;DISPONÍVEL;CASA;73;2;1;550,0;100,0;420000;4200,0;0;0;0;0;USADO
IN101;DISPONÍVEL;CASA;10;2;1;420,0;150,0;475000;3166,6666666666665;1;1;0;0;USADO
IN086;DISPONÍVEL;CASA;10;3;1;300,0;100,0;490000;4900,0;0;0;0;0;NOVO
TER060;DISPONÍVEL;TERRENO UNIFAMILIAR;4;0;0;480,0;0,0;250000;0,0;0;0;0;0;NOVO
PN018;DISPONÍVEL;CASA;74;3;1;500,0;150,0;740000;4933,333333333333;1;1;1;0;NOVO
SJ129;DISPONÍVEL;CASA;29;3;1;360,0;120,0;520000;4333,333333333333;0;1;0;0;NOVO
